Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Label
17099.26745760722,18719.659603171393,0.0,16531.08567664784,14241.372043828274,16014.591075748569,0.0,14005.573778561333,20210.15616886548,13390.938538664639,0.0,17939.09172690464,18599.0799014668,11146.124580090735,0.0,16501.495172471095,14527.987857719123,1724.751041833632,0.0,13411.244840676689,1.0
11198.720299987206,18034.494222650083,0.0,10638.094776722148,9873.838887502598,10651.599821921895,0.0,10103.227632951453,14258.112875872854,11266.480227032192,0.0,11566.187759817338,16072.507082850836,4980.861281692814,0.0,14331.406796757581,10389.427863538518,698.5522686481658,0.0,11762.435847168024,0.0
11759.988085456318,13951.123996348055,19378.781415375135,12556.104976174589,13919.691014504913,10065.378732015635,11625.817267860888,11532.015436991258,17423.918869544585,11571.261818694178,13469.210388460027,16049.267047295583,22875.177017918533,7477.828143819918,11555.482577871013,19023.980066864224,21727.751956490323,1820.3476730878613,8161.365912865971,18038.997118419404,1.0
15323.164331423672,17742.255085610966,26539.714902881187,13709.487935055788,12177.49676556078,11701.420318939718,19188.04657407479,12695.649222600885,16062.281031945673,11428.81657349665,18221.013523572423,14820.33032348093,20204.401935740763,7329.884951733403,13204.570130515596,17277.559868570486,14531.156165777307,-292.08154572151227,4763.145037916693,13344.224953494046,0.0
11107.305699867937,9098.47775174257,0.0,13752.142984543212,12020.91877922705,4061.5154078587725,0.0,10217.907269759584,18837.984109804238,7334.236650877131,0.0,13511.564101029537,18480.740151136863,4682.758087687589,0.0,14374.795866964476,14601.476675766644,534.0966941422018,0.0,10550.715837897073,0.0
19402.68076490512,7000.583542110145,11795.653259998711,15461.13245885049,13323.556142570735,-991.19881188946,3385.673976032457,10802.344575350631,16702.02222102214,3964.550416566596,6522.686733668435,14796.197034960545,16203.272346384241,3263.979677050615,3548.5457562906877,14688.498001641492,11562.118638467451,165.3709581553418,-378.55662656856396,10929.482932115123,1.0
17850.489632017376,6583.638858290341,14466.324893921108,27373.939835334735,13215.633508601504,2623.1377380604918,8305.89142647839,21083.46753321438,12075.201767762537,3996.4005021700286,8263.78131285608,19935.638732148127,12183.589330655708,150.5901104936482,2115.24331041323,15104.647764383195,9598.04282785239,-4059.207328369495,-5864.923487714579,8857.304076947215,0.0
14469.229700987593,17993.676001813834,19486.779678725845,13007.016340601507,10654.310554211002,12487.470321813074,20701.291199631996,9956.423676250333,11111.546843281327,13069.506944664494,15307.957496337403,11217.528589132111,13922.311255094988,7784.784950986617,9361.301795381152,10886.239652900344,12090.093344053927,2110.536284329132,3252.049046483948,7339.0558040473525,0.0
22161.244281944913,17833.69572825772,20587.531046284275,17108.89634061457,13227.304910955434,10050.524906650226,12302.861307515315,14520.93634583492,13811.97455535857,7547.27015732169,7952.42555536651,14849.532874056094,12168.370742221121,2982.4092202639995,2418.779239563618,14725.158441365264,6882.272691035275,-3407.0259174599764,-4755.230654343471,11389.090810384625,0.0
12594.424821684015,4492.6859125387555,5852.225504940058,12014.939538860026,8925.003741626282,-1171.472327521646,2906.9522598528724,9373.24280855054,15403.021594579715,3976.9632934299048,3899.183949266392,22992.67778076464,13524.116260408822,3582.541147819846,2357.3494276732185,19568.08745184646,8960.828237365195,-244.49067592797078,-85.56708268068087,14361.51017022999,1.0
10457.101180375243,13134.043187206162,19030.931089040543,15467.572458226468,9401.998908499387,6207.565711812107,12634.186582964085,10672.908288759798,6184.012466426275,5896.031899554633,3120.5285657772815,11690.966557506685,9049.651104341141,1875.6423808337088,890.0463663253265,13131.958674105765,5912.216413702001,-4308.954878029257,-2827.496401692906,9689.429668749803,1.0
25198.42767406201,0.0,17953.98624945308,15087.309826793433,16437.4770925544,0.0,5327.438308121266,12577.844776486125,22985.968842503615,0.0,6446.747839406161,14973.673520712107,28055.26224677228,0.0,3773.4318744504208,17813.28522486226,18758.421117495112,0.0,-6253.678928293668,12516.275182501406,1.0
17470.7572941596,15611.949971326034,15710.253684986565,17179.580153486375,13980.320537759151,8144.389813641237,9870.920162663067,13616.730666284277,16002.024759082626,8852.54968826669,9679.816855470754,14165.277171064987,15332.919237794991,10587.468578465827,11203.851564965544,15129.62553267396,11702.074208381566,5689.629677260884,5867.33640027447,11022.561203976693,0.0
15139.205868611418,11060.91892337826,0.0,14754.730355820519,11394.833454800058,2688.2085003758084,0.0,13389.468518623384,15612.74011569106,5059.6368441202685,0.0,20502.861310434084,13923.317863692997,4707.935540572907,0.0,16378.049614423158,9513.52634770932,346.74127389735855,0.0,11284.803584202164,0.0
15039.506465235203,192.304141433757,4580.859508145985,15470.615821788753,16691.11973134689,-3586.964008901727,9284.025365324553,12367.489225314577,34891.45755854566,2638.6230570011603,10377.99234934924,24787.84963776842,35763.898485888705,-1747.0317669728506,18749.896502903368,21732.8414850971,30719.0195389103,-10818.298721131516,16474.820511394057,14927.852165192744,1.0
10045.961291995318,6282.420936353278,1871.2758895942193,11083.477381670013,7911.831958878782,226.2816714700479,959.3190205341288,8057.442554714773,15506.64274567947,3981.926190231658,1221.92092411481,14016.866763564503,19472.831112004835,2327.3702976048817,-1111.9759452703051,16743.627985718427,18251.813378515504,-994.3880334866079,-2860.8703927842535,14249.615951945007,1.0
12572.546894427915,13752.822852611174,15852.509657417198,12461.947614496668,11190.355681152108,8633.84686840274,10915.0019832256,10215.57664920216,15915.161292967337,9704.233445381475,10462.266597423632,12851.565457654557,18426.53957861791,5524.263332766106,6546.427223148239,18120.41319974894,15619.598121845496,-2861.482558329069,-2320.9879351921745,17320.397176129016,1.0
10698.625831934394,371.9790019794483,0.0,11025.378364136583,9271.735895787786,-1652.3143479170778,0.0,10209.872863901755,15953.995620493772,1856.5819324957208,0.0,20423.143733518373,14964.290933073711,-1823.9789204951435,0.0,18542.38205256731,8423.747543823229,-7612.02510225239,0.0,12953.333058998209,1.0
16237.115612378804,14202.683775727244,19153.437957876853,13124.653726649904,17600.4950646176,9788.868123304233,13383.086211122372,10587.921940901762,24698.023056142778,11707.007621866456,13935.318029844118,12718.528789616745,23904.051703779438,9416.81873997557,9024.221705569267,19784.640075223906,20929.051416165534,5039.22345628113,1635.1701152460116,19108.176504878054,0.0
16534.74831455537,13721.9765439904,0.0,16037.723280858096,12865.616055093507,6852.139322933335,0.0,13717.47934144219,18997.544880479163,6561.197358486325,0.0,18634.97597149756,20028.16207645506,1809.6777024644039,0.0,18460.828580914054,17103.8659833462,-2654.522841757027,0.0,13687.488937036173,0.0
13191.186010851732,0.0,0.0,13327.766648872474,12004.897424537363,0.0,0.0,12260.861350941912,16868.109590426866,0.0,0.0,12371.643951184673,16101.706703150132,0.0,0.0,14465.735946490828,10448.467619299952,0.0,0.0,9983.319891989097,0.0
12009.450455624274,12162.64268822523,11757.056675056367,12348.680026846268,10836.705625984794,5691.825924291701,4136.422317881734,10051.834348912069,16535.68140945662,7302.388321992572,8094.077527516886,14741.94878504522,16910.17371896951,8984.522717017595,11697.39068671343,19943.88225568256,15987.560723189968,5255.054414137008,7962.730809548761,16114.372107940562,1.0
11487.20554925762,11468.450703341678,11257.974421760013,11279.988040685943,9003.781829555894,5249.30559797519,6012.565915762999,6760.8243309821055,10007.971002096725,6491.020665041518,5524.758536463076,9257.843907555221,12164.876218611349,3888.8270048636355,3129.7339443273936,12841.762396833541,11204.935174468701,-1937.4496190439554,-1832.2339922173753,10172.352884246293,1.0
26423.525183564965,14815.058457383395,0.0,20456.932962646744,28649.558921681084,8787.104173151754,0.0,15677.51623169943,28797.861411682676,10919.788087302353,0.0,21187.84819434739,21884.83447938718,6724.257111052991,0.0,15234.13452109946,10693.241701679504,569.1967479841411,0.0,6225.098773146335,0.0
0.0,14904.687684808321,0.0,21255.276512455224,0.0,9658.548601125163,0.0,21627.744251564793,0.0,12423.755178344547,0.0,24751.717702006255,0.0,4154.916899859102,0.0,18096.66721671372,0.0,-6249.803648016654,0.0,11309.611783258653,1.0
11393.563735820242,3184.84355900374,9964.556472973774,11323.069780131458,7286.861971656767,-366.0187670708239,1404.0171281666521,8228.174241868926,13077.709218864635,5146.622410672916,4756.094359205377,13450.61746784592,11062.958752376098,3499.0523088169625,2676.7583125837637,13602.177751419164,6044.979927211663,-3785.2973225248943,-2681.5530378329613,9659.048423236874,1.0
